TLE2	-5.69943	132.73952	0
TMSI	1.294812	124.925571	0
TNG	-6.1719	106.6469	0
TNGI	-6.172	106.647	0
TNTI	0.7718	127.3667	0
TPI	-2.75633	107.65345	0
TPRI	0.9193	104.5208	0
TPTI	3.2618	97.1774	0
TRSI	2.0256	98.9594	0
TSI	3.5012	98.5645	0
TTSI	-3.0451	119.819	0
TWSI	-8.7381	116.8821	0
UBSI	-3.7611	102.2714	0
UGM	-7.9125	110.5231	0
UWJI	-6.4191	110.9474	0
WAMI	-4.09593	138.95004	0
WBSI	-9.6411	119.3911	0
WOJI	-7.8372	110.9236	0
WSI	-9.6689	120.297666	0
YOGI	-7.8166	110.295	0
BAJI	-7.09057	112.70853	0
BKJI	-7.3633	108.5322	0
BMSI	-2.06641	102.31544	0
BPJI	-7.81045	109.99712	0
BTJI	-7.1972	109.1641	0
BUJI	-7.75603	109.46133	0
CIJI	-7.31741	108.19589	0
CSJI	-7.3302	106.521	0
GBJI	-6.9485	109.966	0
GEJI	-8.41019	112.64507	0
GGJI	-7.03022	110.92097	0
JASI	-1.41453	101.45838	0
JBJI	-6.48374	106.46986	0
JMSI	-2.63715	101.88745	0
JPJI	-6.5307	107.4175	0
JPSI	-1.34164	100.58645	0
KBBI	-8.286	115.2547	0
KLJI	-7.99607	113.25175	0
KWJI	-7.3837	109.9691	0
LLSI	-3.27843	102.9139	0
LUJI	-7.826	113.0107	0
MBBI	-1.5406	102.0984	0
NKBI	-8.726115	115.5259633	0
PBJI	-7.0874	107.4757	0
PKJI	-7.1678	109.5798	0
PKSI	-4.0428	103.2639	0
PLJI	-7.8616	112.1548	0
PLSI	0.23729	100.55398	0
PPLI	-5.74103	105.14486	0
PRJI	-8.07216	110.79178	0
PSLI	-5.93732	105.51004	0
PTJI	-6.2655167	106.748825	0
SEJI	-7.0051	111.7288	0
STSI	-2.38874	101.04783	0
TOJI	-6.7621	108.1344	0
TRPI	-6.0989	140.3	0
TUJI	-8.4018	113.7322	0
UTSI	-5.31257	104.55095	0
WLJI	-6.8310983	105.8909467	0
WRJI	-7.81129	113.74565	0
ABSM	-3.4254	102.26295	0
ACJM	-6.8033	108.6151	0
ALTI	-8.29069	125.12517	0
ARMI	-5.7749	134.2189	0
ARPI	-2.89961	140.74765	0
BBCI	1.158027	121.436232	0
BBCM	-5.0392	120.058	0
BBJM	-7.326	111.8099	0
BDCM	-0.872636	119.586757	0
BESI	4.719933	96.86546	0
BESM	4.151615	96.325344	0
BGCI	-0.8816	123.3911	0
BGCM	-0.049644	119.880075	0
BHCM	-2.7965	122.1259	0
BLCM	-0.122934	119.687071	0
BLSM	-2.6232	102.7617	0
BNTI	-8.7881	120.9768	0
BOSM	-4.859183	104.020736	0
BPSM	-1.1924	100.58998	0
BTCM	-2.4768	121.9241	0
BUSI	5.1665	96.88612	0
BYLI	-8.2273	116.4201	0
CBJM	-6.93085	107.35624	0
CCJM	-7.01692	107.14019	0
CIJM	-6.4926	108.1853	0
CSJM	-6.74052	108.0099	0
CWJM	-6.74236	107.44486	0
DBKI	-1.6792	114.9079	0
DDSI	1.6675	101.4602	0
DOCM	-0.675868	119.74873	0
DYPI	-4.8521	139.4991	0
GESM	4.8421	96.1278	0
GGJM	-7.1717	111.2037	0
GHMI	-0.35629	127.8797	0
GKJM	-7.8411	110.5922	0
GPSM	4.869343	96.090448	0
GTSI	-0.5981	101.4888	0
GUJM	-7.17155	111.20342	0
IBTI	-8.3894	123.2645	0
IHMI	1.508213	127.555625	0
IWPI	-2.7581	134.5162	0
JBJM	-6.9729	111.4587	0
JHMI	1.082067	127.47828	0
JTJM	-7.0573	106.8015	0
KBJM	-7.0505	111.2329	0
KGCM	0.639702	122.851648	0
KLSM	3.0863	97.3298	0
KPJM	-7.1883	111.9281	0
KTMI	-7.669066	131.579205	0
KTTI	-10.01356	124.5339	0
KUSI	3.1964	97.3706	0
LESM	-4.96147	103.71256	0
LHSM	-4.1892	103.5539	0
LISM	4.4785	96.78746	0
LJPI	-3.1271	139.945	0
LKCI	-4.3509	122.3437	0
LKSM	0.1845	100.6007	0
LLSM	-5.60039	104.80943	0
LMTI	-8.6011	120.4771	0
LOCM	-1.6502	120.1825	0
LPCM	-3.5012	119.5378	0
LPSM	-1.7082	100.7196	0
LSCM	-4.365	119.8987	0
LTSM	1.52936	98.9305	0
LUCM	-1.4262	120.3225	0
MASM	5.29847	95.59667	0
MBPI	-2.035	133.7322	0
MBSM	-3.13437	101.8744	0
MIPI	-4.5301	136.8935	0
MKJM	-7.6629	110.4834	0
MKSM	-4.571007	103.36025	0
MLJM	-7.2483	112.3379	0
MMCI	-2.95597	119.3631	0
MPSM	0.5891	100.1383	0
MSCM	-2.5358	120.2813	0
MTCM	-2.573883	121.054464	0
MTSI	2.1524	98.2524	0
MTSM	-4.4793	103.5062	0
NBMI	-3.8509	126.6995	0
ONSM	2.1599	98.6301	0
PABI	0.1236	99.8719	0
PBCI	0.38301	124.0396	0
PBLI	-8.8218	116.2778	0
PCJM	-6.91299	108.71924	0
PDLI	-8.1037	117.8729	0
PICM	-0.710997	120.088757	0
PKCI	-3.492086	120.885845	0
PKJM	-6.79577	108.43985	0
PLSM	1.54	99.6462	0
PMMI	0.3738	127.4158	0
POCI	-1.420317	120.656954	0
PPCM	-3.727	119.7269	0
PPSM	-5.3182	104.0156	0
PSJM	-6.96858	106.54906	0
PSSM	-5.86438	104.69528	0
PTSM	2.011856	99.166011	0
RASM	-2.1655	101.0708	0
RDCM	-1.295483	119.552463	0
RLSI	2.0687	99.8455	0
RMSM	-2.62326	102.7617	0
RRSI	0.84096	100.34611	0
RSSM	2.597922	98.782984	0
SASM	4.8795	95.4825	0
SBJM	-7.967995	110.266119	0
SBSM	0.1983	99.3775	0
SCJM	-6.8437	107.2221	0
SDCI	-0.494155	119.768722	0
SDSM	2.75379	98.28677	0
SEJM	-6.8726	108.5852	0
SEMI	-2.917032	129.820841	0
SIJM	-7.41011	112.760504	0
SISM	4.6082	96.7288	0
SKSI	5.894472	95.31271	0
SKSM	-1.946	101.3497	0
SLSM	-0.83132	100.65342	0
SMSM	-0.005923	100.17103	0
SNBI	0.963245	97.429538	0
SPSM	2.51596	98.37383	0
SRMI	-2.941451	129.18185	0
SSJM	-6.8872	106.9626	0
SSMI	-3.736706	130.828774	0
SSSM	-1.56407	101.23747	0
STPI	-0.46835	132.1256	0
SUSM	-5.0212	104.2945	0
SWCM	-4.2145	120.0109	0
TAMI	-3.675906	128.110803	0
TASI	-0.3241	100.0791	0
TBCM	-4.9117704	120.28299	0
TBKI	2.136	117.4241	0
TGCM	0.5201	123.0778	0
TKSM	3.1374	98.3244	0
TLCM	-2.50925	120.79436	0
TMSM	-2.69954	101.44633	0
TOCM	-2.647398	121.408032	0
TPCI	0.467467	121.099286	0
TPSI	4.923159	96.017023	0
TSJM	-6.7319	107.8109	0
TSPI	-1.4733	132.0898	0
TTSM	1.0856	99.4108	0
ULSM	-3.7588	102.7941	0
USTI	-9.6543	119.7878	0
UTSM	-4.08339	102.72849	0
WBMI	0.3393	127.8708	0
WGJM	-7.3833	112.5098	0
WHMI	1.0825	128.132	0
WMCM	-2.2162	121.622	0
WSJM	-6.97472	106.7247	0
WWCI	-5.2724	123.5251	0
WWPI	-2.313	136.3773	0
KKKI	-2.5137	110.1951	0
KKMI	-5.6923	132.718	0
KKSI	-4.1718	121.6513	0
BOJI	-7.56815	110.68936	0
JWJM	-7.206245	110.731458	0
NKKI	-1.5605	110.5671	0
PMCI	-1.17288	119.3477	0
LMNI	-8.23386	123.7157	0
